timestamp_sec,car_count,bus_count,truck_count,person_count
37.68,3,0,1,1
37.75,3,1,2,1
37.83,4,1,3,1
37.92,4,1,2,1
38.01,3,0,1,4
38.09,4,0,0,2
38.16,4,0,1,2
38.24,4,0,3,2
38.32,3,0,2,1
38.4,3,0,2,1
38.48,3,0,1,1
38.55,4,0,1,2
38.66,3,0,1,4
38.75,3,0,0,1
38.83,3,0,0,2
38.92,3,0,0,0
39.01,2,0,0,1
39.12,2,0,0,0
39.22,2,0,0,0
39.3,2,0,0,0
39.39,2,0,0,1
39.48,2,0,0,1
39.59,2,0,0,0
39.69,2,0,0,0
39.78,2,0,0,0
39.88,2,0,0,0
39.96,2,1,0,0
40.04,2,1,1,0
40.12,2,0,0,0
40.21,2,0,0,0
40.33,2,0,0,0
40.44,2,0,0,0
40.54,2,0,0,0
40.64,2,0,0,0
40.76,2,1,0,0
40.86,2,0,0,0
40.96,2,0,0,0
41.06,2,0,0,0
41.14,2,1,0,0
41.24,3,1,2,0
41.32,2,0,1,0
41.43,2,1,2,0
41.53,2,1,2,0
41.62,2,1,2,0
41.71,2,1,1,0
41.8,2,1,1,0
41.89,2,1,1,0
41.98,3,1,2,0
42.07,2,1,2,0
42.16,2,1,2,0
42.24,3,1,1,0
42.33,3,1,1,0
42.41,2,1,3,0
42.5,2,0,2,0
42.61,2,0,1,0
42.78,2,1,2,0
42.87,2,0,1,0
42.95,1,1,1,0
43.03,1,0,1,0
43.11,2,1,1,0
43.19,1,1,1,0
43.28,1,1,1,0
43.37,1,2,2,0
43.46,1,2,1,0
43.55,1,0,1,0
43.64,1,1,2,0
43.74,1,1,1,0
43.84,2,1,1,0
43.93,1,1,1,0
44.02,1,1,1,0
44.11,2,1,2,0
44.21,2,1,1,0
44.3,2,1,2,0
44.39,2,1,2,0
44.48,1,0,2,0
44.58,1,0,2,0
44.66,2,0,2,0
44.74,2,0,1,0
44.82,2,1,2,0
44.92,1,0,1,0
44.99,1,0,1,0
45.07,1,0,1,0
45.15,1,0,1,0
45.23,1,1,2,0
45.31,1,0,2,0
45.39,1,0,2,0
45.47,1,0,2,0
45.54,1,0,2,0
45.62,1,1,2,0
45.7,1,1,2,0
45.78,1,0,2,0
45.86,1,0,2,0
45.94,1,0,2,0
46.02,1,0,2,0
46.11,1,0,2,0
46.19,1,0,2,0
46.27,1,0,2,0
46.34,1,0,1,0
46.42,1,0,1,0
46.5,1,0,1,0
46.58,1,0,1,0
46.65,1,1,1,0
46.73,1,0,1,0
46.81,1,0,2,0
46.89,1,0,1,0
46.97,1,0,1,0
47.04,1,0,1,0
47.12,1,0,1,0
47.22,1,0,1,0
47.31,1,1,1,0
47.38,1,0,1,0
47.47,1,0,1,0
47.54,1,0,1,0
47.62,3,1,1,0
47.7,2,1,2,0
47.84,2,1,1,0
47.92,1,1,1,0
47.99,1,1,1,0
48.07,1,0,1,0
48.15,1,1,1,0
48.23,1,0,2,0
48.32,1,0,1,0
48.4,1,1,1,1
48.48,1,0,2,0
48.55,2,0,1,0
48.63,2,0,2,0
48.71,2,0,1,1
48.79,2,0,2,1
48.87,2,0,1,0
48.94,2,0,1,0
49.02,1,0,1,1
49.1,1,0,1,1
49.18,1,0,1,1
49.25,1,0,1,1
49.33,1,0,1,1
49.41,1,0,2,1
49.5,1,1,2,1
49.59,1,0,2,1
49.67,1,0,2,1
49.74,2,0,2,1
49.82,2,0,2,1
49.9,2,0,2,1
49.98,2,0,2,0
50.05,1,0,2,0
50.13,2,0,2,0
50.21,2,0,2,0
50.29,2,0,2,0
50.36,2,0,1,0
50.44,2,0,2,0
50.52,2,0,2,0
50.6,2,0,2,0
50.7,2,0,1,0
50.78,2,0,1,0
50.85,2,0,1,0
50.94,3,0,3,0
51.01,3,0,2,0
51.09,2,0,1,0
51.17,3,0,2,0
51.24,2,0,1,0
51.32,2,0,2,0
51.4,2,0,1,0
51.48,1,0,1,1
51.55,2,0,2,0
51.63,1,0,2,0
51.71,1,0,2,0
51.79,1,0,2,0
51.88,0,0,1,0
51.96,1,0,1,0
52.04,0,0,1,1
52.11,0,0,1,0
52.19,0,0,1,0
52.27,0,0,1,1
52.35,0,0,1,1
52.43,0,0,1,1
52.5,1,0,1,0
52.58,1,0,1,0
52.73,1,0,1,1
52.8,1,0,1,0
52.88,0,0,1,0
52.97,0,0,1,0
53.06,0,0,1,0
53.13,1,0,1,0
53.21,1,0,1,0
53.32,1,0,1,0
53.45,1,1,1,0
53.54,1,0,1,0
53.62,1,1,1,0
53.7,0,0,1,0
53.78,1,1,1,0
53.86,1,0,1,0
53.93,1,1,2,0
54.01,1,1,1,0
54.1,1,1,1,0
54.19,1,1,1,0
54.28,1,1,1,0
54.35,1,1,1,0
54.43,1,0,1,0
54.5,2,1,1,0
54.59,2,1,1,0
54.69,2,0,1,0
54.77,2,1,1,0
54.86,2,0,1,0
54.95,2,0,1,0
55.04,2,0,1,0
55.13,2,0,1,0
55.23,2,1,1,0
55.33,2,0,1,0
55.42,2,0,1,0
55.5,2,0,1,0
55.6,2,1,1,0
55.69,2,1,1,0
55.79,2,0,1,0
55.88,1,0,1,0
55.96,1,0,1,1
56.03,1,0,1,0
56.12,1,1,1,0
56.2,1,1,1,0
56.3,1,0,1,0
56.4,0,1,1,0
56.5,2,0,1,0
56.59,2,1,1,2
56.67,2,1,1,0
56.77,2,1,1,0
56.86,2,1,0,0
56.94,0,1,0,0
57.03,0,1,0,0
57.12,0,0,0,0
57.21,1,1,0,0
57.3,1,1,0,0
57.38,1,1,0,0
57.46,1,0,0,0
57.58,0,1,0,0
57.68,0,1,0,0
57.77,1,1,0,2
57.87,1,0,1,1
57.95,1,1,0,2
58.04,1,0,0,2
58.13,1,0,0,2
58.21,1,1,0,1
58.38,1,0,0,3
58.47,1,0,0,1
58.56,1,0,0,1
58.64,1,0,0,2
58.75,1,0,0,2
58.84,1,0,0,1
58.93,1,0,0,0
59.01,1,0,0,1
59.09,1,0,0,1
59.17,1,0,0,0
59.26,1,0,0,0
59.34,1,0,0,0
59.44,1,1,0,1
59.52,1,1,0,2
59.61,1,1,0,4
59.69,1,0,0,3
59.78,1,1,0,3
59.88,1,1,0,3
59.99,1,1,0,1
60.08,1,1,0,1
60.16,1,1,0,1
60.24,1,1,0,1
60.34,1,1,0,3
60.44,1,1,0,3
60.54,1,0,0,2
60.61,1,0,0,2
60.69,1,0,0,0
60.77,1,0,0,0
60.84,1,0,0,2
60.92,1,0,0,3
